               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.5097,             0.92397,              1.0512,             0.94906,             0.92436,             0.96603,             0.72088,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  41,              1.4965,             0.90675,              1.0561,             0.95905,              0.9224,             0.96753,             0.72828,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  42,              1.4935,             0.90253,               1.054,             0.95639,             0.92513,             0.96829,             0.73508,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  43,              1.4878,             0.90561,              1.0525,              0.9584,             0.92402,             0.96813,             0.72986,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  44,              1.4586,             0.87508,              1.0482,             0.96022,             0.93145,             0.97129,             0.74199,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  45,              1.4558,             0.86544,              1.0465,             0.95583,             0.93173,             0.96981,             0.74162,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  46,              1.4543,             0.86695,              1.0497,             0.96098,             0.92598,             0.97068,             0.74788,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  47,              1.4398,             0.85947,              1.0454,             0.95901,             0.93308,             0.97127,             0.75346,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  48,              1.4249,             0.84613,              1.0426,             0.95687,             0.93493,             0.97107,             0.75115,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  49,               1.423,             0.84522,              1.0452,             0.96001,             0.93471,             0.97267,             0.75713,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
